LATITUDE,LONGITUDE,EQ_MAGNITUDE,EQ_DEPTH,CAUSE,TS_INTENSITY
38.267,22.3,6.3,18.0,1,2.0
44.2,139.5,7.5,10.0,0,1.5
-1.3,144.3,6.5,33.0,0,1.5
-3.7,119.3,5.5,33.0,0,1.0
38.65,139.2,7.5,40.0,0,2.0
58.37,-136.665,7.8,35.0,1,5.0
1.5,-79.5,7.6,60.0,0,2.0
51.292,-175.62900000000002,8.6,33.0,0,3.0
36.9,26.0,7.8,20.0,0,5.0
-30.0,-72.0,7.1,30.0,0,1.0
42.15,143.85,8.1,45.0,0,2.0
17.0,121.63,7.2,33.0,0,1.5
10.5,122.0,8.3,33.0,0,1.5
32.0,132.1,7.4,10.0,0,0.0
-9.295,159.234,7.9,35.0,0,1.5
19.623,-103.919,8.1,35.0,0,2.0
-10.932,161.016,7.8,35.0,0,2.5
-13.0,-69.6,6.9,30.0,0,1.0
56.5,162.5,7.2,20.0,0,3.5
13.0,125.0,7.3,22.0,0,0.5
40.8,143.2,8.2,7.0,0,2.0
-2.4,126.1,7.6,6.0,0,2.0
-6.8,-80.7,6.8,93.0,0,4.0
19.242,-104.383,7.7,25.0,0,1.5
-28.553,-70.755,8.7,35.0,0,2.5
61.017,-147.648,9.2,33.0,1,3.5
53.492,-162.832,8.6,15.0,1,4.0
35.1,139.5,7.9,33.0,0,3.0
39.224,144.622,8.4,35.0,0,3.5
34.0,137.1,8.1,30.0,0,2.5
33.0,135.6,8.1,20.0,0,2.5
52.755,160.05700000000002,9.0,22.0,0,4.0
-38.143,-73.407,9.5,33.0,0,4.0
46.4,141.1,6.0,21.0,0,-4.0
38.396,22.094,5.4,29.0,0,3.0
-9.828,163.32299999999998,6.8,33.0,0,-1.0
31.885,131.468,6.7,22.0,0,0.5
-28.906,-71.417,6.7,20.0,0,-3.0
43.905,147.916,7.3,33.0,0,-3.0
40.608,143.683,6.4,13.0,0,-1.5
36.194,141.702,7.2,37.0,0,-1.0
44.026,149.002,6.7,33.0,0,-2.5
-7.4,155.6,7.1,40.0,0,2.0
-6.6,146.9,5.4,17.0,1,-1.0
43.84,39.34,5.1,7.0,0,2.0
46.3,140.9,6.2,16.0,0,-3.0
39.77,39.533,7.7,35.0,0,4.0
44.4,34.4,6.0,27.0,0,2.0
31.789,131.314,6.7,49.0,0,-2.0
-22.118,-113.436,6.9,10.0,0,-2.5
31.555,139.931,5.7,33.0,0,-2.0
51.478,-176.847,7.3,24.0,0,-1.5
15.978,-98.07,7.1,21.0,0,-3.0
28.094,130.148,6.8,20.0,1,0.5
27.929,130.175,7.1,28.0,0,1.5
12.047,125.92,6.8,23.0,0,-2.0
12.059,125.58,7.2,21.0,0,-2.0
